SimTime,Total_Bytes_Sent,Mobility_Bytes,RSU_Bytes,EmergencyReq_Bytes,Accident_Bytes,End_Of_Step_Bytes,Empty_Payload_Bytes,Terminate_Bytes
125,51598,46536,3435,269,0,1358,0,0
126,48110,46483,0,269,0,1358,0,0
127,51394,46332,3435,269,0,1358,0,0
128,50172,45110,3435,269,0,1358,0,0
129,50011,44949,3435,269,0,1358,0,0
130,48820,43758,3435,269,0,1358,0,0
131,48949,43887,3435,269,0,1358,0,0
132,49068,44006,3435,269,0,1358,0,0
133,48907,43845,3435,269,0,1358,0,0
134,46152,41090,3435,269,0,1358,0,0
135,45731,40669,3435,269,0,1358,0,0
136,44692,39630,3435,269,0,1358,0,0
137,48447,39714,6870,505,0,1358,0,0
138,44699,39655,3435,251,0,1358,0,0
139,44861,39817,3435,251,0,1358,0,0
140,44948,39881,3435,274,0,1358,0,0
141,44944,39877,3435,274,0,1358,0,0
142,41346,39714,0,274,0,1358,0,0
143,43449,38382,3435,274,0,1358,0,0
144,41815,36769,3435,253,0,1358,0,0
145,41255,36462,3435,0,0,1358,0,0
146,37705,36347,0,0,0,1358,0,0
147,41210,36417,3435,0,0,1358,0,0
148,41363,36570,3435,0,0,1358,0,0
149,36360,35002,0,0,0,1358,0,0
150,36333,34718,0,257,0,1358,0,0
151,43297,34814,6870,255,0,1358,0,0
152,39646,34853,3435,0,0,1358,0,0
153,39676,34883,3435,0,0,1358,0,0
154,36154,34796,0,0,0,1358,0,0
155,39552,34759,3435,0,0,1358,0,0
156,39477,34684,3435,0,0,1358,0,0
157,39559,34766,3435,0,0,1358,0,0
158,39470,34677,3435,0,0,1358,0,0
159,39153,34360,3435,0,0,1358,0,0
160,39272,34479,3435,0,0,1358,0,0
161,39460,34667,3435,0,0,1358,0,0
162,39470,34677,3435,0,0,1358,0,0
163,39370,34577,3435,0,0,1358,0,0
164,39251,34458,3435,0,0,1358,0,0
165,39185,34392,3435,0,0,1358,0,0
166,39260,34467,3435,0,0,1358,0,0
167,39377,34584,3435,0,0,1358,0,0
168,35819,34461,0,0,0,1358,0,0
169,39248,34455,3435,0,0,1358,0,0
170,39294,34501,3435,0,0,1358,0,0
171,35756,34398,0,0,0,1358,0,0
172,39017,34224,3435,0,0,1358,0,0
173,38990,34197,3435,0,0,1358,0,0
174,35536,34178,0,0,0,1358,0,0
175,37511,32718,3435,0,0,1358,0,0
176,37466,32673,3435,0,0,1358,0,0
177,34161,32803,0,0,0,1358,0,0
178,37726,32933,3435,0,0,1358,0,0
179,37958,32910,3435,255,0,1358,0,0
180,41388,32906,6870,254,0,1358,0,0
181,36871,32078,3435,0,0,1358,0,0
182,36779,31986,3435,0,0,1358,0,0
183,36779,31986,3435,0,0,1358,0,0
184,36770,31977,3435,0,0,1358,0,0
185,36895,32102,3435,0,0,1358,0,0
186,36918,32125,3435,0,0,1358,0,0
187,36991,32198,3435,0,0,1358,0,0
188,36972,32179,3435,0,0,1358,0,0
189,36987,32194,3435,0,0,1358,0,0
190,37043,32250,3435,0,0,1358,0,0
191,37067,32274,3435,0,0,1358,0,0
192,37150,32357,3435,0,0,1358,0,0
193,37150,32357,3435,0,0,1358,0,0
194,37023,32230,3435,0,0,1358,0,0
195,36811,32018,3435,0,0,1358,0,0
196,36897,32104,3435,0,0,1358,0,0
197,36972,32179,3435,0,0,1358,0,0
198,36907,32114,3435,0,0,1358,0,0
199,36863,32070,3435,0,0,1358,0,0
200,36805,32012,3435,0,0,1358,0,0
