SimTime,Total_Vehicles,Avg_Net_Speed_mps,Veh_At_Red_light,Emerg_At_Red_Light,Veh_Receiving_V2V,Veh_Receiving_RSU,Veh_Receiving_Strat,Veh_ReactingV2V,Veh_Reacting_RSUStrat,Veh_ReactingRSU
124,32,6.14293,600,0,0,0,0,0,0,0
125,32,6.21698,600,0,0,0,0,0,0,0
126,32,6.26676,600,0,0,0,0,0,0,0
127,32,6.45926,700,0,0,0,0,0,0,0
128,31,6.5868,700,0,0,0,0,0,0,0
129,31,6.55454,700,0,0,0,0,0,0,0
130,30,5.95202,403,0,0,0,0,0,0,0
131,30,5.98229,400,0,0,0,0,0,0,0
132,30,5.92318,500,0,0,0,0,0,0,0
133,30,6.04824,600,0,0,0,0,0,0,0
134,28,5.21064,600,0,0,0,0,0,0,0
135,28,5.24193,600,0,0,0,0,0,0,0
136,27,4.73628,106,1,0,0,0,0,0,0
137,27,4.7019,100,0,0,0,0,0,0,0
138,27,4.76227,100,0,0,0,0,0,0,0
139,27,5.20994,100,0,0,0,0,0,0,0
140,27,5.73297,100,0,0,0,0,0,0,0
141,27,6.04559,100,0,0,0,0,0,0,0
142,27,6.35207,200,0,0,0,0,0,0,0
143,26,6.00678,200,0,0,0,0,0,0,0
144,25,5.25893,300,0,0,0,0,0,0,0
145,25,5.01635,300,0,0,0,0,0,0,0
146,25,4.98195,400,0,0,0,0,0,0,0
147,25,5.03033,400,0,0,0,0,0,0,0
148,25,5.34656,400,0,0,0,0,0,0,0
149,24,5.05604,500,0,0,0,0,0,0,0
150,24,4.88523,500,0,0,0,0,0,0,0
151,24,4.62573,500,0,0,0,0,0,0,0
152,24,4.51701,600,0,0,0,0,0,0,0
153,24,4.34383,600,0,0,0,0,0,0,0
154,24,4.48951,600,0,0,0,0,0,0,0
155,24,4.60476,600,0,0,0,0,0,0,0
156,24,4.36556,600,0,0,0,0,0,0,0
157,24,3.66577,700,0,0,0,0,0,0,0
158,24,3.19115,601,0,0,0,0,0,0,0
159,24,2.79617,700,0,0,0,0,0,0,0
160,24,2.67356,700,0,0,0,0,0,0,0
161,24,2.9242,700,0,0,0,0,0,0,0
162,24,3.07089,700,0,0,0,0,0,0,0
163,24,2.79359,700,0,0,0,0,0,0,0
164,24,2.47871,700,0,0,0,0,0,0,0
165,24,2.23969,700,0,0,0,0,0,0,0
166,24,2.03537,800,0,0,0,0,0,0,0
167,24,1.74584,701,0,0,0,0,0,0,0
168,24,1.54697,800,0,0,0,0,0,0,0
169,24,1.60351,800,0,0,0,0,0,0,0
170,24,1.77414,800,0,0,0,0,0,0,0
171,24,1.92589,800,0,0,0,0,0,0,0
172,24,2.1643,1000,0,0,0,0,0,0,0
173,24,2.26382,1000,0,0,0,0,0,0,0
174,24,2.32892,1000,0,0,0,0,0,0,0
175,23,2.00988,1000,0,0,0,0,0,0,0
